" of the ";" из "
"Your subscription was manually cancelled.";"Ваша подписка будет отменена вручную."
"Zip Code:";"Почтовый Индекс:"
"Zone overlay";"Зоны наложения"
"before updating we strongly advise you to read the release note and the following document.";"перед обновлением настоятельно советую вам прочитать заметки о выпуске и следующий документ."
"dismiss";"удалить"
"home/features/admin_marque_blanche.png";"home/features/admin_marque_blanche.png"
"home/features/appel_en_un_clique.png";"home/features/appel_en_un_clique.png"
"home/features/geolocalisation.png";"home/features/geolocalisation.png"
"home/features/listing_produits.png";"home/features/listing_produits.png"
"iOS Descriptions saved!";"описания иос сохранены!"
"iPhone X:";"для iPhone Х:"
"password";"пароль"
"you know it!";"ты это сделал!"
