"%s Text";"%s Текст"
"Use background into all of your application's pages";"Использовать единый фон на всех страницах"
"Use into all of your application's pages";"Используйте для всех страниц вашего приложения"
"Used points";"Использовано баллов"
"User Information";"Информация о пользователе"
"User:";"Пользователь:"
"Utilities";"Утилиты"
"Version";"Версия "
"Video";"Видео"
"Visible";"Видно"
"Visible from all pages";"Видна главная страница"
"Visible from all the application's pages (removes the homepage)";"Откл. меню на всех страницах приложения (удаляет домашнюю страницу)"
"We are sorry but this application has been deactivated and may not be re-activated.";"Извините, но это приложение деактивировано и заработает только после оплаты...."
"Weather";"Погода"
"Weblink";"Ссылка"
"White Label Editor Settings";"Настройки White Label"
"Width";"Ширина"
"With ads functionality";"С рекламой"
"With background audio playing";"С фоновым звуком"
"With background geolocation";"С Геолокацией"
"With options";"Опции"
"Yes";"Да"
"You already have sent a certificate.";"Вы отправили сертификат."
"You already sent a request, please wait 3 days from your previous request to retry.";"Вы уже отправили запрос, пожалуйста, подождите 3 дня с предыдущего просьбой повторить."
"You can add or change license in (<strong>Settings / General</strong>).<br/><em>note: build are only consume if success.</em>";"Вы можете добавить или изменить лицензию (<strong>настройки / Общие</strong>).<br/><em>Примечание: построения произойдёт только в случае успеха.</em>"
"You can add or change license in (<strong>Settings / General</strong>).<br/><em>note: builds are only consumed if they're successful.</em>";"Вы можете добавить или изменить лицензию (<strong>настройки / Общие</strong>).<br/><em>Примечание: строит потребляются только если они успешные.</em>"
"You can download your QRCode by <a class=\"f-bold\" href=\"%s\">clicking here</a>";"Сканируйте на свой смартфон QR код или загрузите <a class=\"f-bold\" href=\"%s\"> нажав сюда </a>. Протестируйте на телефоне ваше приложение или покажите его работу вашим заказчикам."
"You can use <b>%s</b> as variable for your application name.";"Вы можете использовать <b>%s</b> в качестве переменной для имени приложения."
"You can't go back to Angular design.";"Вы не сможете вернуться в Angular design."
"You can't use this domain.";"Вы не можете использовать этот домен."
"You cannot have multiple sessions to manage apps, so the session for this app is closed. This page is about to be reloaded.";"Вы не можете иметь несколько сессий, чтобы управлять приложениями, поэтому сессии для этого приложение закрывается. Эта страница будет перезагружена."
"You don't have any applications yet";"У Вас ещё нет приложений"
"You have already sent a certificate";"У вас есть сертификат"
"You have sent a certificate.";"Вы отправили сертификат."
"You have to create a Google account before publishing your application. <a href=\"https://play.google.com/apps/publish/signup\" target=\"_blank\">Click here to create one.</a>";"Вы должны создать учетную запись Google перед публикацией вашего приложения. <a href=\"https://play.google.com/apps/publish/signup\" target=\"_blank\"> Нажмите здесь, чтобы создать его. </a>"
"You have to create a Google account before publishing your application. <a href=\"https://play.google.com/apps/publish/signup\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\" target=\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"_blank\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\">Click here to create one.</a>\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"";"Вам нужно создать учетную запись Google, прежде чем публиковать свое приложение. <a href=\"https://play.google.com/apps/publish/signup\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\" target=\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"_blank\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\">Click here to create one.</a>\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\""
"You have to create an Apple account before publishing your application. <a href=\"https://appleid.apple.com/account#!&page=create\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\" target=\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"_blank\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\">Click here to create one.</a>\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"";"Вы должны создать учетную запись Apple перед публикацией вашего приложения. <a href=\"https://appleid.apple.com/account#!&page=create\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\" target=\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"_blank\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\">Click here to create one.</a>\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\""
"You have to create an Apple account before publishing your application. <a href=\"https://developer.apple.com/register/index.action\" target=\"_blank\">Click here to create one.</a>";"Вы должны создать учетную запись Apple до публикации вашего приложения. <a href=\"https://developer.apple.com/register/index.action\" target=\"_blank\"> Нажмите здесь, чтобы создать его. </a>"
"You have to purchase the application before downloading the mobile source code.";"Вы должны приобрести приложение перед загрузкой исходного кода для мобильных устройств"
"You haven't chosen any template yet";"Вы ещё не выбрали ни одного шаблона "
"You may not delete a library icon";"Вы не можете удалить иконку из библиотеки"
"You must choose an ads type";"Вы должны выбрать тип рекламы"
"You must have published your application to access this feature";"Вы должны опубликовать ваше приложение, чтоб иметь доступ к этой функции"
"You must select at least one orientation for iPad!";"Вы должны выбрать по крайней мере одну ориентацию для iPad!"
"You must select at least one orientation for iPhone!";"Вы должны выбрать хотя бы одно направление для iPhone!"
"Your CNAME is not properly set";"Ваш CNAME установлен неправильно"
"Your CNAME is properly set";"Ваш CNAME правильно установлен"
"Your administrator is using a custom smtp provider, if you don't want to use your own SMTP provider, you are invited to send a whitelist request via the button below";"Ваш администратор использует собственный SMTP-провайдер. Если вы не хотите использовать свой собственный SMTP-провайдер, вам предлагается отправить запрос в белый список, нажав кнопку ниже."
"Your analytics has been computed.";"Ваша аналитика была вычислена."
"Your app will be published";"Ваше приложение будет опубликовано"
"Your application in few numbers";"Ваша заявка в несколько номеров"
"Your application is now switched to Ionic";"Ваше приложение теперь перешло на IONIC 4"
"Your application is ready to be published.";"Ваше приложение готово к публикации."
"Your application key \"%s\" is not valid.";"Ключ приложения \"%s\" неверный."
"Your best customers";"Ваши лучшие клиенты"
"Your bundle id is invalid, format should looks like com.mydomain.iosid";"Ваш идентификатор пакета является недействительным. Формат должен выглядит как ru.nwicode.app"
"Your customers in figures";"Ваши заказчики в цифрах"
"Your customization has been applied to %s.";"Ваши настройки были применены к %s."
"Your customization has been applied to your white label panel.";"Ваши настройки были применены к white label панели"
"Your design";"Ваш дизайн"
"Your domain key \"%s\" is not valid.";"Ваш ключ домена \"%s\" не является действительным."
"Your iOS autobuild License Key";"Ваш iOS автосборки лицензионный ключ"
"Your mobile address should not contain special characters";"Ваш адрес не должен содержать специальные символы"
"Your package name is invalid, format should looks like com.mydomain.androidid";"Ваше имя пакета является недействительным, Формат должен выглядит как ru.nwicode.app"
"Your pages";"Ваши страницы"
"address";"Адрес"
"alphabetically";"по алфавиту"
"building";"создание"
"by distance";"по расстоянию"
"default, by creation date";"по умолчанию, по дате создания"
"e.g: On %s";"например: На %s"
"eBanner iOS price";"eBanner iOS цена"
"eBanner iOS price\"";"eBanner iOS цена\""
"failed";"не удалось"
"from";"от"
"iOS Certificate";"Сертификат iOS "
"iPad Retina:";"iPad Retina:"
"iPad orientation settings";"настройки ориентации на iPad"
"iPhone & iPad orientation";"iPhone и ориентации на iPad"
"iPhone 5 / 5S:";"iPhone 5 / 5S:"
"iPhone 6 Plus:";"iPhone 6 Plus:"
"iPhone 6:";"IPhone 6:"
"iPhone Version";"iPhone версия"
"iPhone Version (No Ads)";"Версия для iPhone (без рекламы)"
"iPhone orientation settings";"настройки ориентации iPhone"
"iTunes Connect Login";"в iTunes Connect войти"
"iTunes Connect Password";"пароль в iTunes подключите"
"icon";"иконка"
"like using the GPS or the camera. After the first installation of your app, those messages will be shown to the app user.";"После первой установки вашего приложения, эти сообщения будут показаны в приложение пользователя."
"logo";"Лого"
"pending";"в ожидании"
"seconds";"секунд"
"skip this step";"пропустить этот шаг"
"success";"Успешно"
"times";"время"
"to";"для"
"with image";"с изображения"
"without image";"без изображения"
"﻿\"1. Download the app previewer:\"";"1. Скачать приложение предпросмотра:"
"Feedback";"Обратная связь"
"Message subject";"Тема письма"
"Your request has been successfully sent";"Ваше обращение было успешно отправлено."
"Unlock features";"Разблокировать функции"
"To unlock the function, you must change the tariff.";"Чтобы разблокировать функцию, необходимо изменить тариф."
"Today";"Сегодня"
"Yesterday";"Вчера"
"Week";"Неделя"
"Month";"Месяц"
"Refresh data";"Обновить данные"
"Applications";"Приложения"
"Application analytics";"Аналитика приложения"
"Total installations";"Всего установок"
"Total reinstallations";"Всего повторных установок"
"All data";"Все данные"
"Locked";"Заблокированно"
"Select application:";"Выберите приложение"
"Select application and period of analytic";"Аналитика по приложениям и временным интервалам"
"Choose period:";"Укажите период"
"Installations";"Установки"
"Countries";"Страны"
"New installations";"Новые установки"
"Re-Installations";"Повторные установки"
"Summary info";"Суммарные данные"
"Graphic data";"Графики"
"Table data";"Табличное представление"
"More detailed statistics are available in the personal account of Yandex.Metrica service.";"Более детальная статистика доступна в личном кабинете сервиса Яндекс.Метрики."
"Settings for LIST ITEM element";"Настройки для элемента списка LIST ITEM"
"Main application color and background settings";"Основной цвет и фон приложения"
"Settings for color";"Настройки для цвета"
"Skip";"Пропустить"
"Sign-In / Log-In";"Войти"
"Header";"Заголовок"
"Tour enabled";"Тур включен"
"Tour title color type";"Тип цвета заголовка в слайде"
"Tour subtitle color type";"Тип цвета подзаголовка в слайде"
"Normal";"Обычный"
"Tint";"Осветленный"
"Shade";"Затененный"
"Reset tour on devices";"Сбросить тур на устройствах"
"Tour title color";"Цвет заголовка"
"Tour subtitle color";"Цвет подзаголовка"
"Slide preview";"Предпросмотр слайда"
"Slide";"Слайд"
"Settings of slide";"Настройки слайда"
"Title";"Заголовок"
"Subtitle";"Подзаголовок"
"Upload image for slide:";"Загрузить изображение для слайда:"
"Remove image for slide:";"Удалить изображние слайда:"
"Save tour settings";"Сохранить настройки"
"Autoload first feature";"Автозапуск первой функции"
