"%s / Month";"%s / Месяц"
"Please log in.";"Пожалуйста войдите."
"Please note that this page is currently displaying DEMO data. Real data will be displayed when reach the %s application limit.";"Обратите внимание, что эта страница в настоящее время отображает DEMO-ДАННЫЕ. Реальные данные будут отображаться, когда привысит %s скачиваний."
"Please note that this page is currently displaying DEMO data. Real data will be displayed when the %s applications limit is reached.";"Обратите внимание, что эта страница в данный момент отображает демо-данные. Реальные данные будут отображаться, когда будет более %s установок приложения."
"Please note that this page is currently displaying DEMO data. Real data will be displayed when your application is published.";"Обратите внимание, что эта страница в настоящее время отображает DEMO-ДАННЫЕ. Реальные данные будут отображаться после публикации"
"Please provide a certificate.";"Пожалуйста, предоставьте сертификат."
"Please select at least one application.";"Пожалуйста, выберите хотя бы одно приложение."
"Please wait...";"Ожидайте"
"Please, enter a correct email address.";"Пожалуйста, введите правильный адрес электронной почты."
"Please, enter a password.";"Пожалуйста, введите пароль."
"Please, enter a valid date";"Пожалуйста, введите правильную дату"
"Podcast";"Podcast"
"Podcast URL";"Ссылку на подкаст "
"Podcast URL (iTunes format)";"Podcast URL (формат Itunes)"
"Podcast type is invalid or can't be found";"Этот тип подкаста является недействительным или не может быть найден"
"Port";"Порт"
"Port, example: 3310";"Порт, пример: 3310"
"Position Menu";"Меню Установки "
"Postcode";"Почтовый индекс"
"Postcode:";"Почтовый индекс:"
"Previewer";"App Previewer"
"Previews";"Превью"
"Privacy";"Конфиденциальности"
"Privacy Policy";"Политика Конфиденциальности"
"Privacy policy";"Политика конфиденциальности"
"Privacy policy section for GDPR";"Политика конфиденциальности для GDPR"
"Privacy policy successfully saved";"Политика конфиденциальности успешно сохранен"
"Privacy settings";"Настройки конфиденциальности "
"Products";"Продукты"
"Profile";"Профиль"
"Promotion";"Продвижение"
"Publication settings";"Параметры публикации "
"Publish your app";"Опубликуйте свое приложение"
"Publishable Key";"Публикуемые Ключ"
"Push";"Push"
"Push Notifications";"Уведомления"
"Push message";"Push-сообщения"
"Push message is sent.";"Пуш сообщения."
"Push notification";"Push-уведомления"
"Push notifications";"Push-уведомления"
"Push notifications Your account doesn't exists on editor side. Please create it before using tour edition.";"Push-уведомления Ваш аккаунт не существует на стороне редактора. Пожалуйста, создайте его, используя данное издание."
"Push notifications\"Your account doesn't exists on editor side. Please create it before using tour edition.";"Push-уведомления\" ваша учетная запись не существует на стороне редактора. Пожалуйста, создайте его, используя данное издание."
"QR Code";"QR код"
"QRCode";"QR-Код"
"Qty";"Шт."
"Query";"Запрос"
"RSS Feed";"RSS канал"
"Radio";"Радио"
"Redis AUTH KEY";"Redis AUTH KEY"
"Registration date";"Дата регистрации "
"Release";"Релиз"
"Remove";"Удалить"
"Remove this page from this folder?";"Удалить эту страницу из этой папки?"
"Remove this step";"Удалить этот шаг"
"Request & Upload to panel";"Запрос и загрузка в панель"
"Request APK generation";"Запрос на формирование АПК "
"Request or renew the certificate via Let's Encrypt.";"Обновление или запрос нового сертификата"
"Requested by";"Запрошенный"
"Required fields";"Обязательные для заполнения поля"
"Reset to default Privacy Policy.";"По умолчанию политика конфиденциальности."
"Resize your picture";"Изменение размера изображения"
"Resize your picture:";"Изменение размера изображения:"
"Restart";"Перезагрузка"
"Restore Apps";"Восстановить приложения"
"Restore Apps sources";"Восстановление исходников приложения"
"Right";"справо"
"Roles";"Роли"
"Rss";"RSS-канал"
"Rule have been added.";"Правило добавлено."
"Rule have been removed.";"Правило было удалено."
"Run Android SDK update";"Запустить обновление SDK для Android "
"SCSS successfully saved";"СКС успешно сохранен"
"SELF-ASSIGNABLE";"САМОСТОЯТЕЛЬНО ПЕРЕНАЗНАЧИТЬ"
"SEND";"Отправить"
"SMTP";"Протокол SMTP"
"SMTP - Whitelist: An administrator sent a request for white-listing his domain.";"Протокол SMTP - администратор отправил запрос в белый список СВОЙ домен."
"SMTP Credentials (Affiliated to the White-Label %s)";"Учетные данные SMTP"
"Sales by Categories (TOP 10)";"Продажи по категориям (TOP 10)"
"Sales by Payment method";"Продажи по способам оплаты"
"Sales by Store";"Продажи магазина"
"Sales by product (TOP 20)";"TOP 20 продаваемых продуктов"
"Sample";"Образец"
"Save";"Сохранить"
"Save GCM settings";"Сохранить настройки GCM"
"Save iTunes credentials";"Сохранить учетные данные в iTunes "
"Save sender id & key";"Сохранить отправителя ID и ключ"
"Scan it";"Сканируй его"
"Scan it.";"Сканируй."
"Scan now to unlock";"Сканируй, чтобы разблокировать"
"Scheduled for";"Запланированные для"
"Scheduled for <i>%s</i>";"Назначено на <i>%s</i>"
"Scratchcard Users";"Пользователи скретч-карты"
"Search";"Поиск"
"Search ...";"Поиск ..."
"Search / Filter";"Поиск / Фильтр"
"Search results";"Результаты поиска "
"Search, filter ...";"Поиск, фильтр ..."
"Security logs (last 50 triggers)";"Журналы безопасности (последние 50 триггеров)"
"See";"Смотреть"
"Select a Development team";"Выберите команду разработчиков"
"Select a connection type:";"Выберите тип подключения:"
"Select a country";"Выберите страну"
"Select a hostname";"Выберите имя"
"Select a panel type or self-managed";"Выберите Тип панели или самоуправляемые"
"Select all";"Выбрать все"
"Select an album";"Выберите альбом"
"Select an iTunes Connect provider";"Выберите в iTunes подключите провайдера"
"Select target applications";"Выбор целевого приложения"
"Select your back button appearance";"Выберите спиной внешний вид кнопки "
"Selected hostname";"Выбранное имя хоста"
"Selected main hostname";"Выбранное главное имя хоста"
"Send";"Отправить"
"Send a cover image";"Отправить обложки"
"Send push";"Отправить push"
"Send report";"Отправить отчет"
"Send to all applications";"Послать во все приложения"
"Send to all applications.";"Послать ко всем приложениям."
"Send your pictures";"Вставьте свои фотографии"
"Sender ID";"Идентификатор отправителя "
"Sender email";"Отправитель электронной почты"
"Sender name";"Имя отправителя "
"Server key";"Ключ сервера "
"Service APK Generator";"Генератор АПК сервис "
"Service APK generator";"Генератор АПК сервис "
"Service notes";"Сервис Примечания"
"Session settings";"Параметры сеанса "
"Set Meal";"Питание"
"Settings";"Настройки"
"Show";"Показать"
"Show cover";"Показать обложку"
"Show search field";"Показать поле поиска "
"Show title";"Показать заголовок"
"Size on disk";"Размер на диске"
"Size:";"Размер:"
"Slack notification settings";"Настройки уведомлений "
"Slider";"Слайдер"
"Social";"Социалки"
"Socialgaming";"Конкурсы"
"Soundcloud";"С SoundCloud"
"Source code";"Свой код"
"Source code generation is not configured, ask your administrator for more informations.";"Генерация исходного кода не настроена, обратитесь к администратору за дополнительной информацией."
"Sourcecode";"Исходники"
"Sources";"Исходник"
"Spinner";"Загрузчик"
"Split Ad revenue (percent for you)";"Совместный доход от рекламы (в процентах для вас)"
"Start date must be lower than end date.";"Дата начала должна быть ниже даты окончания."
"State / Province";"Регион/Населённый пункт"
"Step placement (optional)";"Шаг размещения (необязательно)"
"Step saved successfully.";"Шаг успешно сохранен."
"Step text";"Шаг текст"
"Step title";"Шаг название"
"Street";"Улица, дом, квартира или офис"
"Street:";"Адрес доставки:"
"Subscriptions";"Подписки"
"Subtitle";"Подзаголовок"
"Success";"Успешно"
"Support";"Поддержка"
"Support Link";"Ссылка поддержки"
"Support link";"Ссылка поддержки"
"Switch to Ionic design";"Переключатель для ионной конструкции"
"System";"Система"
"TLS";"TLS"
"Target applications";"Целевые приложения"
"Target devices";"Целевые устройства"
"Target specific devices";"Для конкретных устройств"
"Tax";"Налог"
"Taxes";"Налоги"
"Template";"Шаблон"
"Test SMTP";"Проверить SMTP"
"Text";"Текст"
"Thank you";"Спасибо"
"Thank you for your request.<br />We'll answer you as soon as possible.";"Спасибо за ваш запрос.<br />мы будем стараться ответить вам как можно скорее."
"The account has been successfully saved";"Учетная запись была успешно сохранена"
"The address you're looking for does not exists.";"Адрес, который вы ищете не существует."
"The admin_id is required";"Требуется admin_id"
"The admin_id parameter is required";"Требуемый параметр admin_id-это "
"The app_id is required";"Требуется app_id"
"The app_id parameter is required";"Требуемый параметр app_id является "
"The certificate request failed 3 times, please check the certificate information, your panel credentials, and everything else.<br />If your certificate is valid, you can try to upload to panel only.";"Запрос на сертификат не 3 раза, пожалуйста, проверьте информацию о сертификате, панель учетные данные, и все остальное<.br />если ваш сертификат действителен, можно попробовать загрузить только на панель."
"The email is required";"Требуется Email "
"The entered text mismatch";"Введено несоответствие текста"
"The file '%s' does not exist";"Файл '%s' не существует"
"The image '%s' does not exist";"Изображение %s не существует"
"The image size '%s' could not be detected.";"Размер изображения '%s' не соответствует"
"The name is required";"Имя обязательно"
"The old password does not match the entered password.";"Старый пароль не соответствует введенному паролю."
"The password is required";"Требуется пароль"
"The password must be at least 6 characters";"Пароль должен быть не менее 6 символов"
"The payment has been cancelled, something wrong happened? Feel free to contact us.";"Оплата была отменена, что то не так произошло? Не стесняйтесь обращаться к нам."
"The sent request is empty.";"На запрос, отправленный пуст."
"The user_id is required";"Значение user_id обязательно"
"The value_id is required.";"В value_id требуется."
"This URL is already used";"Этот URL-адрес уже используется"
"This admin can generate APK";"Этот администратор может генерировать АПК"
"This admin does not exist";"Этого администратора не существует"
"This admin gives you the required information to publish applications";"Этот администратор дает вам необходимую информацию для публикации приложений"
"This administrator does not exist";"Этот администратор не существует"
"This application does not exist";"Это приложение не существует"
"This block type doesn't exist";"Этот тип блока не существует"
"This code is unrecognized";"Этот код не верный"
"This email address does not exist";"Этот адрес электронной почты не существует"
"This email address is already used";"Этот адрес электронной почты уже используется"
"This feature is available from the application only";"Эта функция работает только в приложении"
"This feature is disabled by default since update 4.12.24 and is deprecated in favor of Folders v2.";"Эта функция отключена по умолчанию, поскольку обновление 4.12.24 и является устаревшим в пользу папок В2."
"This feature opens the Code Scan camera";"Эта функция открывает камеру для сканирования QR"
"This field is required";"Заполнение данного поля обязательно"
"This field is required.";"Это поле обязательно к заполнению."
"This layout has no option.";"Этот макет не имеет опций."
"This option doesn't exists.";"Этот параметр не существует."
"This option is not compatible with applications using Forms and/or features with Keyboard.";"Эта опция не совместима с приложениями, используя формы и/или функции с клавиатуры."
"This plan is an offline plan.";"Этот план автономного плана."
"This section is unlocked for mobile users only";"Этот раздел разблокирован для пользователей"
"This will open the code scan camera on your device.";"Откроется сканер кода на телефоне"
"Thumbnail";"Эскиз"
"Time spent in application";"Время, проведенное в приложении"
"Timezone";"Временная зона"
"Tip";"Совет"
"Title";"Название"
"Title & Message are both required.";"Заголовок и сообщение являются обязательными."
"Title's Card";"Титул корзины"
"Title's List";"Титул листа"
"To be able to use ClamAV you must have it installed on your server and configured accordingly to our documentation.";"Чтобы иметь возможность использовать ClamAV, вы должны установить его на свой сервер и настроить в соответствии с нашей документацией."
"Toggle";"Переключатель"
"Toggle off";"Режим off"
"Toggle on";"Включалка"
"Toggle's Handle off";"Режим ВЫКЛ"
"Toggle's Handle on";"Режим ВКЛ"
"Tooltip";"Список, далее."
"Top";"Топ"
"Top installs";"Топ установок"
"Top position";"Верхнее положение"
"Top visits";"Топ визитов"
"Topic";"Тема"
"Topics";"Темы"
"Total";"Всего"
"Total Excl. Tax";"Общая Искл. Налог"
"Total installs";"Всего установок"
"Total sales";"Всего продаж"
"Total visits";"Всего визитов"
"Tour";"Тур"
"Tour Edition";"Тур редактор"
"Translation";"Перевод"
"Translations";"Переводы"
"URL";"URL-адрес"
"Unable to add the contact to your address book";"Невозможно добавить контакт в адресную книгу"
"Unable to calculate the route.";"Невозможно рассчитать маршрут."
"Unable to connect in HTTPS or to validate the SSL Certificate.<br />Check if your are not in `Staging`";"Не удается подключиться по https или для проверки SSL-сертификата.<бр />проверьте, если вы находитесь не в \"промежуточном\""
"Unable to find TC with id %s.";"Не удалось найти ТС с идентификатор %s."
"Unable to save image";"Невозможно сохранить изображение"
"Unrecognized image format";"Неизвестный формат изображения"
"Until:";"Действует до:"
"Updated at";"Обновлено в"
"Upload to panel";"Загрузите в панель"
"Upload your json here";"Загрузить JSON здесь"
"Use card design";"Использовать дизайн карты "
"Use the homepage image as background in all features";"Использование изображения в качестве фона страниц во всех вкладках"
"Use this coupon";"Активировать купон"
"User";"Пользователь"
"User successfully saved";"Пользователь успешно сохранен"
"Username";"Имя пользователя"
"Users";"Пользователи"
"Users activity";"Активность пользователей "
"Users localization";"Локация пользователя"
"VAT Number";"ИНН"
"Valid until";"Действителен до"
"Validate";"Готово"
"Validated points";"Активированные фишки"
"Validated points by Loyalty card Analytics";"Аналитика по активированным фишкам в Дисконт. сист."
"Validations by Discount Analytics";"Дисконт аналитика"
"Version %s";"Версия %s"
"Video";"Видео"
"Video URL";"Ссылка на видео"
"Videos";"Видео"
"View";"Обзор"
"View full article";"Смотреть весь текст"
"View my actual data";"Посмотреть мои реальные данные"
"Visits";"Визиты"
"Visits by feature (All)";"Все посещения"
"Visits by feature (Top 5)";"ТОП 5 визитов"
"Visits by product (TOP 20)";"TOP 20 посещаемых продуктов"
"We are sorry but this address is already used.";"Мы сожалеем, но этот адрес уже используется."
"We are sorry but this email address already exists.";"Мы сожалеем, но этот адрес уже существует."
"We are sorry but this feature is not available yet";"Мы сожалеем, но эта функция пока не доступна"
"We are sorry but this username already exists.";"Извините, но это имя пользователя уже существует."
"We've sent you an e-mail with your access token.";"Мы отправили вам e-mail."
"Web folder Owner";"Владелец веб-папки "
"Web space";"Веб-пространство"
"Webhook";"Веб-перехватчик"
"Weblink";"Ссылка"
"Website";"Вебсайт"
"When selecting \'Enable test API\' in a payment method, be sure to create test credentials, check the documentation of your payment method.";"При выборе \'включить тест API\ в способ оплаты, будьте уверены, чтобы создать тестовые учетные данные, проверьте документацию вашего способа оплаты."
"White Label Editor";"Редактор Белая Этикетка"
"Who is online";"Кто онлайн"
"Winners list";"Список победителей"
"WordPress";"Вордпресс"
"Wordpress";"Вордпресс"
"Year";"Год"
"Yearly";"Ежегодно"
"Yes";"Да"
"You already have this user in your contact";"У вас уже есть этот пользователь с таким контактом"
"You are about to delete this certificate, Are you sure ?";"Вы собираетесь удалить этот сертификат, вы уверены ?"
"You are gone offline";"Вы вышли из интернета"
"You are not allowed to delete a feature!";"Вам не разрешается удалять функция!"
"You are using a custom SMTP configuration, and the following white-label administrator <b>%s</b> is requesting his domain <b>%s</b> to be white-listed.<br /><br />You can add his domain in your SMTP provider panel and send him the instructions to configure it for his domain.";"Вы используете пользовательские настройки SMTP, а следующий белый ярлык администратора <б>%х</B> является просьбой домена <B>%х</B>, чтобы быть в белый список<.бр /><br />Вы можете добавить СВОЙ домен в панели провайдера SMTP и отправить его инструкциям, чтобы настроить его для своего домена."
"You can add allowed extensions, please note that .php, .js & .ico are strictly forbidden and can't be added";"Вы можете добавить разрешенные расширения, обратите внимание, что .php, .js и .ico строго запрещены и не могут быть добавлены"
"You can extend JAVA & GRADLE options to better fit your server hardware.";"Вы можете расширить параметры JAVA & GRADLE, чтобы лучше соответствовать вашему серверному оборудованию."
"You can follow the URL below to access your data report";"Вы можете следовать ниже URL для доступа к вашим данным отчета"
"You can globally disable a feature!";"Можно глобально отключить функцию!"
"You can upload a pem certificate only.";"Вы можете загрузить только сертификат pem"
"You can upload a png only (.png).";"Вы можете загрузить только (.png) файлы"
"You can upload a zip archive only.";"Вы можете загрузить только ZIP архив."
"You can upload an icon only (.ico and .png).";"Вы можете загрузить иконку только в формате (.ico и .png)."
"You can upload an image only (.jpg, .jpeg, .gif and .png).";"Вы можете загрузить изображение только в формате (.jpg, .jpeg, .gif и .png)."
"You can't upload more than one file at a time.";"Вы не можете загрузить более одного файла одновременно."
"You cannot add this feature";"Вы не можете добавить эту функцию"
"You current working environment is";"Текущая рабочая среда"
"You don't have any applications yet";"У вас нет никаких приложений"
"You don't have any invoices yet";"У вас еще нет никаких счетов "
"You have gone offline";"Вы в оффлайне"
"You have to chose a start and an end date.";"Вы должны выбрать начальную и конечную даты."
"You must be logged in to like something!";"Вы должны войти в систему !"
"You must be logged in to post a comment";"Вы должны быть зарегистрированы, чтобы оставить комментарий."
"You must fill ip & port.";"Вы должны заполнить ip & port."
"You must first complete the current category creation process";"Вы должны сначала завершить текущий процесс создания категории "
"You must give the permission to the app to add a contact to your address book";"Вы должны дать разрешение приложению, чтобы добавить контакт в адресную книгу"
"You must share your location to access this page.";"Вы должны сообщить свое местоположение для доступа к этой странице."
"You will lose all unsaved changes, continue?";"Вы потеряете все несохраненные изменения, продолжать?"
"Your PHP version is too old, please upgrade to PHP 5.4+.";"Ваша PHP версия устарела, пожалуйста обновите до PHP 5.6+"
"Your access token is";"Ваш маркер доступа"
"Your analytics will be computed and available soon";"Ваша аналитика будет вычислена и доступна в ближайшее время"
"Your are not allowed to assign this role.";"Вам не разрешается назначать эту роль."
"Your browser is too old to view the content of our website.<br />";"Ваш браузер слишком стар, чтобы просмотреть содержимое нашего сайта. <br />"
"Your build should be ready";"Сборка должна быть готова"
"Your comment";"Ваш комментарий"
"Your email address";"Ваш адрес электронной почты "
"Your email address does not exist";"Ваш адрес электронной почты не существует"
"Your invoice has been edited successfully.";"Ваш счет был успешно отредактирован."
"Your name";"Ваше имя"
"Your new password has been sent to the entered email address";"Ваш новый пароль был отправлен к введенному адресу электронной почты"
"Your password does not match the entered password.";"Ваш пароль не соответствует введенному паролю."
"Your request has been successfully sent, please wait for your administrator to answer.";"Ваш запрос был успешно отправлен, пожалуйста, дождитесь ответа администратора"
"Your subscription has been deleted successfully.";"Ваша Подписка была успешно удалена."
"Your subscription status has been changed successfully.";"Ваш статус подписки успешно изменен."
"Youtube";"Youtube"
"Zip code";"Почтовый индекс"
"average";"средняя"
"be careful or set it back to";"будьте осторожны или установить его обратно в"
"close";"закрыть"
"confirm action, deletion, etc ...";"подтвердите действие, удаление, и т. д ..."
"contextual, depends on module/layout";"контекстная, зависит от модуля/макета"
"day";"день"
"days";"дней"
"disabled";"отключен"
"enabled";"включен"
"form submit, search, validation, confirmation";"форма представления, поиска, проверки, подтверждения"
"high";"высокая"
"hour";"час"
"hours";"часов"
"iOS & Android";"iOS и Android"
"iOS Source";"иос источника"
"iOS Spinner";"iOS загрузчик"
"iOS base Bundle ID  must contain only letters, dots & minus with at least two dots.<br />Example: com.mydomain.admin";"iOS основной пакет ID должно содержать только буквы, точки и минуса как минимум с двух точек.<br />пример: com.mydomain.admin"
"iOS base Bundle ID  must contain only letters, dots & minus.";"IOS основной пакет ID должно содержать только буквы, точки и знаки."
"iOS base Bundle ID can't be empty.";"базового идентификатора пакета не может быть пустым."
"iOS only";"только для iOS"
"iPhone";"для iPhone"
"iTunes";"в iTunes"
"iTunes Connect providers";"в iTunes подключите поставщиков"
"idle";"праздный"
"informative, modal";"Информативный, модальный"
"is updated once a day";"обновляется раз в день"
"loading";"загрузка"
"low";"низкая"
"maintenance";"ремонт"
"minute";"минут"
"minutes";"минут"
"never";"никогда"
"online";"в интернете"
"phone, locate, facebook, email, etc..";"телефона, найдите, facebook, E-mail и т. д.."
"picture";"картинка"
"posts";"посты"
"remaining characters";"оставшиеся символы"
"second";"секунда"
"seconds";"секунд"
"this feature is globally disabled!";"эта функция отключена глобально!"
"title";"название"
"titles";"названия"
"to add a folder.";"чтобы добавить папку."
"to add a subfolder.";"добавить в подпапку."
"twitter";"Твиттер"
"unreachable";"недоступен"
"Итого";"Итого"
