"%s Text";"%s metin"
"This option enables you to set the currency used in your app";"Bu seçenek uygulamada kullanılan para birimini ayarlamanızı sağlar"
"This page will be displayed to mobile users to enable them to login and manage their account. It is automatically added when you use features which need user login.";"Bu sayfa mobil kullanıcıların hesaplarına girmek ve yönetmek için gösterilecektir.Kullanıcı girişi gerekli özellikleri kullandığınızda otomotik olarak eklenir."
"This user can add pages to this application.";"Bu kullanıcı uygulamaya sayfalar ekleyebilir."
"Tip";"Ucu"
"Tips calculator";"Bahşiş hesaplayıcı"
"Title";"Başlık"
"Title case";"Başlık durumu"
"Title position";"Başlık pozisyonu"
"Titles";"Başlıklar"
"To be able to download source codes, please provide the following information:<br />";"Kaynak kodları indirmenin mümkün olabilmesi için, aşağıdaki bilgileri veriniz: <br />"
"Top";"Üst"
"Topic";"Başlık"
"Translation";"Çeviri"
"Transparent";"Transparan"
"Travel";"Seyahat"
"Twitter API Keys";"Twitter API Anahtarları"
"Twitter API secret";"Twitter API secret"
"Twitter API settings";"Twitter API ayarları"
"Twitter API token";"Twitter API token"
"Twitter consumer key";"Twitter"
"Twitter consumer secret";"Twitter consumer secret"
"Type";"Tür"
"UP";"YUKARI"
"URL";"URL"
"URL Key";"URL Anahtarı"
"Upload icon";"İkon yükle"
"Upload image";"Görsel yükle"
"Upper case";"Büyük harf"
"Upside Down";"Alt üst"
"Use Owner AdMob";"Sahip AdMob'u kullan"
"Use ads for platform owner";"Platform sahibi için reklam kullan"
"Use background into all of your application's pages";"Tüm uygulama sayfalarına arka plan kullan"
"Use into all of your application's pages";"Uygulamanızın tüm sayfaları içine kullanın"
"Used points";"Kullanımış puanlar"
"User Information";"Kullanıcı bilgisi"
"User:";"Kullanıcı:"
"Utilities";"Hizmetler"
"Version";"Versiyon"
"Video";"Video"
"Visible";"Görünür"
"Visible from all pages";"Tüm sayfalarda görünür"
"Visible from all the application's pages (removes the homepage)";"Tüm uygulama sayfalarında görünür (Ana Sayfayı kaldırır)"
"We are sorry but this application has been deactivated and may not be re-activated.";"Üzgünüz ancak bu uygulama deaktif edildi ve tekrar aktive edilemeyebilir."
"Weather";"Hava"
"Weblink";"Weblink"
"White Label Editor Settings";"White Label editör ayarları"
"Width";"Genişlik"
"With ads functionality";"Reklam işlevselliği ile"
"With background audio playing";"Arka plan ses çalma ile"
"With background geolocation";"Coğrafi konum arka planı ile"
"With options";"Opsiyonlarla"
"Yes";"Evet"
"You already have sent a certificate.";"Sertifikayı gönderdiniz."
"You already sent a request, please wait 3 days from your previous request to retry.";"Zaten bir istek gönderdiniz, lütfen tekrar denemek için önceki isteğinizden sonra 3 gün bekleyin."
"You can add or change license in (<strong>Settings / General</strong>).<br/><em>note: builds are only consumed if they're successful.</em>";"Lisansı (<strong> Ayarlar / Genel</strong>) ekleyebilir veya değiştirebilirsiniz. <br/> <em> not: yapıların başarılı olması durumunda yalnızca tüketilir. </em>"
"You can download your QRCode by <a class=""f-bold"" href=""%s"">clicking here</a>";"QR kodunuzu <a class=""f-bold"" href=""%s"">yükleyebilirsiniz.</a>"
"You can use <b>%s</b> as variable for your application name.";"Uygulama adınız için <b>%s </b> 'i değişken olarak kullanabilirsiniz."
"You can't go back to Angular design.";"Açısal tasarıma geri dönemezsiniz."
"You can't use this domain.";"Bu domain'i kullanamazsınız."
"You cannot have multiple sessions to manage apps, so the session for this app is closed. This page is about to be reloaded.";"Uygulamaları yönetmek için birden fazla oturumu açık olamaz, bu nedenle bu uygulamanın oturumu kapatılıyor.  Yeniden yüklenmek üzere."
"You don't have any applications yet";"Hiç uygulamanız yok"
"You have already sent a certificate";"Sertifikayı gönderdiniz."
"You have sent a certificate.";"Bir sertifika gönderdiniz"
"You have to create a Google account before publishing your application. <a href=""https://play.google.com/apps/publish/signup"" target=""_blank"">Click here to create one.</a>";"Başvurunuzu yayınlamadan önce bir Google hesabı oluşturmanız gerekir. <a href=""https://play.google.com/apps/publish/signup"" target=""_blank""> oluşturmak için burayı tıklayın. </a>"
"You have to create an Apple account before publishing your application. <a href=""https://developer.apple.com/register/index.action"" target=""_blank"">Click here to create one.</a>";"Başvurunuzu yayınlamadan önce bir Apple hesabı oluşturmanız gerekir. <a href=""https://developer.apple.com/register/index.action"" target=""_blank""> oluşturmak için burayı tıklayın. </a>"
"You have to purchase the application before downloading the mobile source code.";"Mobil kaynak kodunu indirmeden önce uygulamayı satın almalısınız."
"You haven't chosen any template yet";"Henüz bir tema seçmediniz"
"You may not delete a library icon";"Kütüphane ikonu silinemez"
"You must choose an ads type";"Bir reklam türü seçmelisiniz."
"You must have published your application to access this feature";"Bu özelliğe erişmek için başvurunuz yayınlanmış olmalı"
"You must select at least one orientation for iPad!";"IPad için en az bir uyum seçmelisiniz!"
"You must select at least one orientation for iPhone!";"iPhone için en az bir yön seçmelisiniz!"
"Your CNAME is not properly set";"CNAME doğru ayarlanmadı."
"Your CNAME is properly set";"CNAME doğru ayarlanmamış"
"Your administrator is using a custom smtp provider, if you don't want to use your own SMTP provider, you are invited to send a whitelist request via the button below";"Yöneticiniz özel SMTP sağlayıcısı kullanıyorsa, kendi SMTP sağlayıcınızı kullanmak istemiyorsanız, aşağıdaki düğmeyle beyaz liste isteği göndermeye davetlisiniz."
"Your analytics has been computed.";"Analizleriniz hesaplandı."
"Your app will be published";"Uygulamanız yayınlanacak"
"Your application in few numbers";"Uygulamanız az sayıda"
"Your application is now switched to Ionic";"Uygulamanız şimdi Ionic'e geçti"
"Your application is ready to be published.";"Uygulamanız yayınlanmaya hazır."
"Your best customers";"En iyi müşterileriniz"
"Your bundle id is invalid, format should looks like com.mydomain.iosid";"Format geçersiz. com.mydomain.iosid şeklinde olmalı"
"Your customers in figures";"Rakamlarla müşterileriniz"
"Your customization has been applied to %s.";"Özelleştirmeniz %s e uygulandı."
"Your customization has been applied to your white label panel.";"Kişiselleştirmeniz white label panelinize uygulandı."
"Your design";"Tasarımınız"
"Your domain key ""%s"" is not valid.";"Domain anahtarınız  ""%s"" geçerli değil."
"Your iOS autobuild License Key";"iOS autobuild Lisans Anahtarınız"
"Your mobile address should not contain special characters";"Mobil adresiniz özel karakterler içermemelidir"
"Your package name is invalid, format should looks like com.mydomain.androidid";"Paket adınız geçersiz, biçim com.mydomain.androidid gibi görünmelidir"
"Your pages";"Sayfalarınız"
"address";"adres"
"alphabetically";"aflabetik olarak"
"building";"kurgu"
"by distance";"Mesafeye göre"
"default, by creation date";"oluşturulma tarihine göre varsayılan"
"e.g: On %s";"Örneğin; %s de"
"eBanner iOS price";"eBanner iOS fiyatı"
"failed";"başarısız"
"from";"-den"
"iOS";"iOS"
"iOS Certificate";"iOS sertifikası"
"iPad Retina:";"iPad Retina:"
"iPad orientation settings";"iPad uyum ayarları"
"iPhone & iPad orientation";"iPhone & iPad uyumu"
"iPhone 5 / 5S:";"iPhone 5 / 5S:"
"iPhone 6 Plus:";"iPhone 6 Plus:"
"iPhone 6:";"iPhone 6:"
"iPhone Version";"iPhone Versiyonu"
"iPhone Version (No Ads)";"iPhone versiyonu (Reklamsız)"
"iPhone orientation settings";"iPhone uyum ayarları"
"iTunes Connect Login";"iTunes Connect Giriş"
"iTunes Connect Password";"iTunes Connect parolası"
"icon";"ikon"
"like using the GPS or the camera. After the first installation of your app, those messages will be shown to the app user.";"GPS veya kamera kullanmak gibi. Uygulamanızın ilk yüklemesinden sonra, bu iletiler uygulama kullanıcısına gösterilecek."
"logo";"logo"
"pending";"bekliyor"
"seconds";"saniyeler"
"skip this step";"Bu adımı atla"
"success";"Başarılı"
"times";"kez"
"to";"için"
"with image";"görsel ile"
"without image";"Görselsiz"
