"Passwords don't match";"Şifre eşleşmiyor"
"PayPal Express Checkout";"PayPal Express Ödeme"
"Payment";"Ödeme"
"Payment ID";"Ödeme NUMARASI"
"Payment Method";"Ödeme yöntemi"
"Payment method";"Ödeme yöntemi"
"Payments";"Ödemeler"
"Permissions";"İzinleri"
"Personal data";"Kişisel veri"
"Phone";"Telefon"
"Phone and/or E-mail";"Telefon  ve/veya e-posta"
"Phone:";"Tel:"
"Photos";"Resimler"
"Place disabled";"Yeri devre dışı"
"Places";"Yerler"
"Plain";"Düz"
"Plans";"Planlar"
"Platform";"Platform"
"Platform Name";"Platform Adı"
"Platform hostname";"Platform hostname"
"Player";"Oyuncu"
"Please create the API keys to enable this feature.";"Bu özelliği etkinleştirmek için lütfen API anahtarlarını oluşturun."
"Please enter a password";"Lütfen bir şifre girin"
"Please enter a valid URL.";"Lütfen geçerli bir URL girin."
"Please enter a valid credit card number.";"Lütfen geçerli bir kredi kartı numarası girin."
"Please enter a valid date (ISO).";"Lütfen geçerli bir tarih girin (ISO)."
"Please enter a valid date.";"Lütfen geçerli bir tarih girin."
"Please enter a valid email address";"Lütfen geçerli bir email girin"
"Please enter a valid email address.";"lütfen geçerli bir email adresi girin."
"Please enter a valid number.";"Lütfen geçerli bir numara girin."
"Please enter a valid url";"Lütfen geçerli bir url girin"
"Please enter a value between {0} and {1} characters long.";"Lütfen {0} ile {1} karakter uzunluğu arasında bir değer girin."
"Please enter a value between {0} and {1}.";"Lütfen {0} ile {1} arası bir değer giriniz."
"Please enter a value greater than or equal to {0}.";"Lütfen {0} a eşit ya da büyük bir değer girin."
"Please enter a value less than or equal to {0}.";"Lütfen {0} a eşit ya da daha küçük bir değer girin."
"Please enter at least {0} characters.";"Lütfen en az {0} karakter girin."
"Please enter no more than {0} characters.";"{0} karakterden daha fazla girmeyiniz."
"Please enter only digits.";"Lütfen yalnızca numara girin."
"Please enter the same value again.";"Lütfen aynı değeri tekrar girin."
"Please enter your email address";"Lütfen email adresinizi girin"
"Please fill in the following fields:";"Aşağıdaki alanları doldurunuz:"
"Please fill out the following fields";"Lütfen aşağıdaki alanları doldurun"
"Please fix this field.";"Lütfen alanı düzenleyin."
"Please log in.";"Lütfen giriş yapın"
"Please note that this page is currently displaying DEMO data. Real data will be displayed when the %s applications limit is reached.";"Lütfen bu sayfanın şu anda DEMO verilerini görüntülediğini unutmayın. %s uygulamaları sınırına ulaşıldığında gerçek veriler görüntülenecektir."
"Please note that this page is currently displaying DEMO data. Real data will be displayed when your application is published.";"Lütfen bu sayfanın şu anda DEMO verilerini görüntülediğini unutmayın. Uygulamanız yayınlandığında gerçek veriler görüntülenecektir."
"Please provide a certificate.";"Lütfen bir sertifika edinin"
"Please select at least one application.";"Lütfen en az bir uygulama seçin."
"Please wait...";"Lütfen bekleyin..."
"Please, enter a correct email address.";"Lütfen doğru email girin"
"Please, enter a password.";"Lütfen bir şifre girin."
"Please, enter a valid date";"Lütfen geçerli bir tarih girin"
"Podcast";"Podcast"
"Podcast URL";"Podcast URL"
"Podcast URL (iTunes format)";"Podcast URL (iTunes format)"
"Podcast type is invalid or can't be found";"Podcast türü geçersiz ya da bulunamıyor"
"Port";"Bağlantı noktası"
"Port, example: 3310";"Port, örnek: 2570"
"Position Menu";"Konum Menüsü"
"Postcode";"Posta kodu"
"Postcode:";"Posta Kodu:"
"Previewer";"Ön izleyici"
"Previews";"Ön izleme"
"Privacy";"Gizlilik"
"Privacy Policy";"Gizlilik Politikası"
"Privacy policy";"Gizlilik Politikası"
"Privacy policy section for GDPR";"GDPR için Gizlilik Politikası bölüm "
"Privacy policy successfully saved";"Gizlilik Politikası başarılı bir şekilde kaydedildi"
"Privacy settings";"Gizlilik Ayarları"
"Products";"Ürünler"
"Profile";"Profil"
"Promotion";"Promosyon"
"Publication settings";"Yayın ayarları"
"Publish your app";"Uygulamanızı yayınlayın"
"Publishable Key";"Anahtar Yayınlanabilir"
"Push";"Bildirim"
"Push Notifications";"Push Bildirimleri"
"Push message";"Push mesajı"
"Push message is sent.";"Push mesaj gönderildi."
"Push notification";"Push bildirimi"
"Push notifications";"Push bildirimleri"
"Push notifications Your account doesn't exists on editor side. Please create it before using tour edition.";"Push bildirimleri. Hesabınız editör tarafında mevcut değil. Lütfen tur sürümünü kullanmadan önce oluşturun."
"QR Code";"QR Kodunu"
"QRCode";"QRKod"
"Qty";"Qty"
"Query";"Sorgu"
"RSS Feed";"RSS Feed"
"Radio";"Radyo"
"Redis AUTH KEY";"Redis AUTH KEY"
"Registration date";"Kayıt tarihi"
"Release";"Serbest"
"Remove";"Kaldır"
"Remove this page from this folder?";"Bu sayfa bu klasörden kaldırılsın mı?"
"Remove this step";"Bu adımı kaldırın"
"Request & Upload to panel";"İste ve panele yükle"
"Request APK generation";"İstek MUAYENE nesil"
"Request or renew the certificate via Let's Encrypt.";"Sertifikayı Let's Encrypt üzerinden isteyin veya yenileyin."
"Requested by";"Talep tarafından"
"Required fields";"Gerekli alanlar"
"Reset to default Privacy Policy.";"Varsayılan Gizlilik Politikası'na dön."
"Resize your picture";"Resminizi yeniden boyutlandırın"
"Resize your picture:";"Resminizi yeniden boyutlandırın:"
"Restart";"Yeniden başlatın"
"Restore Apps";"Uygulamaları Geri Yükleme "
"Restore Apps sources";"Uygulamalar kaynaklar geri yükleme "
"Right";"Sağ"
"Roles";"Roller"
"Rss";"RSS"
"Rule have been added.";"Kural eklendi."
"Rule have been removed.";"Kural kaldırılmıştır."
"Run Android SDK update";"Run Android SDK güncelleme"
"SCSS successfully saved";"SCSS başarıyla kaydedildi"
"SELF-ASSIGNABLE";"KENDİNİ ATANABİLİR"
"SEND";"YOLLA"
"SMTP";"SMTP"
"SMTP - Whitelist: An administrator sent a request for white-listing his domain.";"SMTP - Whitelist: Bir yönetici, alan adını whitelist için bir istek gönderdi."
"SMTP Credentials (Affiliated to the White-Label %s)";"-Etiket %s (Beyaz Bağlı)SMTP Kimlik bilgileri "
"Sales by Categories (TOP 10)";"Kategoriye göre satışlar (Top 10)"
"Sales by Payment method";"Ödeme metoduna göre satış"
"Sales by Store";"Mağazaya göre satışlar"
"Sales by product (TOP 20)";"Ürün başına satış (top 20)"
"Sample";"Örnek"
"Save";"Sakla"
"Save GCM settings";"HGK Ayarları kaydet"
"Save iTunes credentials";"Kimlik bilgilerini kaydetmek iTunes "
"Save sender id & key";"Kaydet gönderenin kimliği & anahtar"
"Scan it.";"Tara"
"Scan now to unlock";"Kilidi açmak için tarayın"
"Scheduled for";"için planlandı"
"Scheduled for <i>%s</i>";"<I>% s </ i> için planlandı"
"Scratchcard Users";"Kazı kazan kullanıcıları"
"Search";"Ara"
"Search ...";"Ara"
"Search / Filter";"Arama / filtre"
"Search results";"Sonuçları ara"
"Search, filter ...";"Ara, filtrele"
"See";"Gör"
"Select a Development team";"Geliştirme ekibi seçin "
"Select a country";"Bir ülke seçin"
"Select a hostname";"Bir sunucu adı seçin"
"Select a panel type or self-managed";"Bir panel türü veya kendiniz yönetin"
"Select all";"Tümünü seçin"
"Select an album";"Bir albüm seçin "
"Select an iTunes Connect provider";"Bir sağlayıcı seçin iTunes Connect "
"Select target applications";"Hedef uygulamaları seç"
"Select your back button appearance";"Geri düğmesi görünümünüzü seçin "
"Selected hostname";"Seçili sunucu ismi"
"Selected main hostname";"Seçili ana sunucu ismi"
"Send";"Gönder"
"Send a cover image";"Kapak resmi göndermek "
"Send push";"Push gönder"
"Send report";"Rapor gönder "
"Send to all applications.";"Tüm uygulamalara gönder."
"Send your pictures";"Resimlerinizi gönderin"
"Sender ID";"Gönderenin KİMLİĞİ"
"Sender email";"Gönderenin e-posta"
"Sender name";"Gönderenin adı"
"Server key";"Anahtar sunucusu "
"Service APK Generator";"Hizmet kuru temizleme Jeneratör"
"Service APK generator";"Hizmet kuru temizleme Jeneratör"
"Service notes";"Servis notları"
"Session settings";"Oturum ayarları"
"Set Meal";"Menü oluştur"
"Settings";"Ayarlar"
"Show";"Göster"
"Show cover";"Kapağı göster"
"Show search field";"Arama alanını göster"
"Show title";"Başlığı göster"
"Nwicode current installation path";"Sibirya geçerli yükleme yolu"
"Nwicode domain";"Sibirya etki alanı"
"Nwicode informations";"Sibirya bilgileri"
"Nwicode uses it to scan all uploaded files that have passed the soft Firewall.";"Sibirya yumuşak Güvenlik Duvarı geçen tüm yüklenen dosyaları taramak için kullanır."
"Size on disk";"Diskteki boyutu "
"Size:";"Boyut:"
"Slack notification settings";"Bolluk bildirim ayarları"
"Slider";"Kaydırma butonu"
"Social";"Sosyal"
"Socialgaming";"Sosyal oyun"
"Socket";"Soket"
"Soundcloud";"Soundcloud"
"Source code";"Kaynak kodu"
"Source code generation is not configured, ask your administrator for more informations.";"Kaynak kod oluşturma yapılandırılmamış, daha fazla bilgi için yöneticinize başvurun."
"Sourcecode";"Kaynak kodu"
"Sources";"Kaynakları"
"Spinner";"Spinner"
"Split Ad revenue (percent for you)";"Split reklam geliri (yüzde olarak)"
"Start date must be lower than end date.";"Başlama tarihi bitiş tarihinden önce olmalıdır."
"State / Province";"Eyalet / İl"
"Step placement (optional)";"Adım yerleştirme (opsiyonel)"
"Step saved successfully.";"Adım başarıyla kaydedildi."
"Step text";"Adım metin"
"Step title";"Başlık adım "
"Street";"Cadde"
"Street:";"Cadde:"
"Subscriptions";"Üyelik"
"Subtitle";"Alt başlık"
"Success";"Başarılı"
"Support";"Destek"
"Support Link";"Destek linki"
"Support link";"Destek bağlantısı"
"Switch to Ionic design";"İyonik tasarım geçin "
"System";"Sistem"
"TLS";"TLS"
"Target applications";"Hedef uygulamalar"
"Target devices";"Hedef cihazlar"
"Target specific devices";"Hedef özel cihazlar"
"Tax";"Vergi"
"Taxes";"Vergiler"
"Template";"Şablon"
"Test SMTP";"Test SMTP"
"Text";"Metin"
"Thank you";"Teşekkürler"
"Thank you for your request.<br />We'll answer you as soon as possible.";"İsteğiniz için teşekkür ederiz. <br /> Size en kısa sürede cevap vereceğiz."
"The account has been successfully saved";"Hesap başarıyla kaydedildi"
"The address you're looking for does not exists.";"Aradığınız adres mevcut değil."
"The admin_id is required";"Admin_id gerekiyor."
"The admin_id parameter is required";"Admin_id parametresi gereklidir "
"The app_id is required";"app_id gerekli"
"The app_id parameter is required";"App_id parametresi gereklidir "
"The certificate request failed 3 times, please check the certificate information, your panel credentials, and everything else.<br />If your certificate is valid, you can try to upload to panel only.";"Sertifika isteği 3 kez başarısız oldu, lütfen sertifika bilgilerini, panel kimlik bilgilerinizi ve diğer her şeyi kontrol edin. <br /> Sertifikanız geçerliyse, yalnızca panele yüklemeyi deneyebilirsiniz."
"The email is required";"Email gerekli"
"The entered text mismatch";"Girilen metni uyumsuzluğu"
"The file '%s' does not exist";"Dosya '%s' mevcut değil"
"The image '%s' does not exist";"Resim '%s' mevcut değil"
"The image size '%s' could not be detected.";"Resim boyutu '%s' algılanamadı."
"The name is required";"İsim gereklidir."
"The old password does not match the entered password.";"Şifreler eşleşmiyor."
"The password is required";"Şifre gerekli"
"The password must be at least 6 characters";"Şifre en az 6 karekter olmalı"
"The payment has been cancelled, something wrong happened? Feel free to contact us.";"Ödeme iptal edildi, bir şeyler yanlış oldu? Bizimle temas kurmaktan çekinmeyin."
"The sent request is empty.";"Gönderilen istek boş."
"The user_id is required";"User_id gereklidir "
"The value_id is required.";"Value_id gerekiyor."
"This URL is already used";"Bu URL zaten kullanılıyor "
"This admin can generate APK";"Bu admin MUAYENE oluşturabilirsiniz "
"This admin does not exist";"Bu admin mevcut değil."
"This admin gives you the required information to publish applications";"Bu yönetim uygulamaları yayımlamak için gerekli bilgileri verir "
"This administrator does not exist";"Bu Yönetici mevcut değil"
"This application does not exist";"Bu uygulama mevcut değil."
"This block type doesn't exist";"Bu blok tip yok"
"This code is unrecognized";"Bu kod tanınmıyor"
"This email address does not exist";"Bu e-posta adresi mevcut değil."
"This email address is already used";"Bu email adresi kullanımda"
"This feature is available from the application only";"Bu özellik sadece uygulamadan temin edilebilir."
"This feature is disabled by default since update 4.12.24 and is deprecated in favor of Folders v2.";"Bu özellik, 4.12.24 güncellemesinden itibaren varsayılan olarak devre dışıdır ve Klasörler v2 için önerilmemektedir."
"This feature opens the Code Scan camera";"Bu özellik kod tarama kamerasını açar."
"This field is required";"Bu dosya gerekli"
"This field is required.";"Gerekli alanları doldurunuz."
"This layout has no option.";"Bu layout'ta seçenek yok."
"This option doesn't exists.";"Bu seçenek yok."
"This option is not compatible with applications using Forms and/or features with Keyboard.";"Bu seçenek, Klavye ile Formları ve/veya özelliklerini kullanarak uygulamalar ile uyumlu değil."
"This plan is an offline plan.";"Bu plan çevrimdışı bir plandır."
"This section is unlocked for mobile users only";"Bu bölüm sadece mobil kullanıcılar için"
"This will open the code scan camera on your device.";"Bu kod tarama kamerasını açacak."
"Thumbnail";"Küçük resimler"
"Time spent in application";"Uygulamada geçirilen zaman"
"Timezone";"Zaman Dilimi"
"Tip";"Bilgi"
"Title";"Başlık:"
"Title & Message are both required.";"Başlık ve mesaj gerekiyor."
"Title's Card";"Başlık kartı"
"Title's List";"Başlığın listesi"
"Title:";"Başlık:"
"To be able to use ClamAV you must have it installed on your server and configured accordingly to our documentation.";"Deniztarağı kullanabilmek için sunucu üzerinde yüklü ve buna göre belgeleri bizim için yapılandırılmış olması gerekir."
"Toggle";"Toggle"
"Toggle off";"Toggle kapalı"
"Toggle on";"Toggle açık"
"Toggle's Handle off";"Toggle's Handle off"
"Toggle's Handle on";"Toggle's Handle on"
"Token";"Belirteç"
"Tooltip";"Araç bilgisi"
"Top";"Üst"
"Top installs";"Top yüklemeler"
"Top position";"En üst pozisyon"
"Top visits";"Top ziyaretler"
"Topic";"Konu"
"Topics";"Konular"
"Total";"Toplam"
"Total Excl. Tax";"Vergi dahil toplam"
"Total installs";"Toplam yükleme"
"Total sales";"Toplam satış"
"Total visits";"Toplam ziyaret"
"Tour";"Tur"
"Tour Edition";"Tur Edisyonu"
"Translation";"Çeviri"
"Translations";"Çeviriler"
"URL";"URL"
"Unable to add the contact to your address book";"Adres defterinize kişi eklenemiyor"
"Unable to calculate the route.";"Rota hesaplanamıyor."
"Unable to connect in HTTPS or to validate the SSL Certificate.<br />Check if your are not in `Staging`";"HTTPS'ye bağlanılamıyor veya SSL Sertifikasını doğrulamıyor. <br /> \"Staging\"de değilseniz kontrol edin."
"Unable to find TC with id %s.";"%s kimliğine sahip TC bulunamıyor."
"Unable to save image";"Resim kaydedilemiyor"
"Unrecognized image format";"Tanınmayan resim biçimi"
"Until:";"Şu zamana kadar:"
"Updated at";"de güncellendi"
"Upload to panel";"Panele yükle"
"Upload your json here";"Burada json yükleyin "
"Use card design";"Kart tasarımı kullan"
"Use the homepage image as background in all features";"Tüm özelliklerde ana sayfa resmini arka plan olarak kullan"
"Use this coupon";"Bu kuponu kullanın"
"User";"Kullanıcı"
"User successfully saved";"Kullanıcı başarıyla kaydedildi"
"Username";"Kullanıcı adı"
"Users";"Kullanıcılar"
"Users activity";"Kullanıcı etkinliği"
"Users localization";"Kullanıcıların konumu"
"VAT Number";"Vergi numarası"
"Valid until";"Şu tarihe kadar geçerli"
"Validate";"Geçerli"
"Validated points";"Doğrulanmış noktalar"
"Validated points by Loyalty card Analytics";"Sadakat kartı analytics tarafından onaylanan puanlar"
"Validations by Discount Analytics";"İndirim analizlerine göre doğrulamalar"
"Version %s";"Versiyon %s"
"Video";"Video"
"Video URL";"Video URL"
"Videos";"Videolar"
"View";"Görünüm"
"View full article";"Tüm makaleyi oku"
"View my actual data";"Gerçek veri görüntüle "
"Visits";"Ziyaretler"
"Visits by feature (All)";"Özelliğe göre ziyaretler (tümü)"
"Visits by feature (Top 5)";"Test API'ına izin verilsin mi?"
"Visits by product (TOP 20)";"Ürün başına ziyaret (Top 20)"
"We are sorry but this address is already used.";"Üzgünüz ama bu adres kullanımda"
"We are sorry but this email address already exists.";"Üzgünüz ama bu email kullanılmış"
"We are sorry but this feature is not available yet";"Üzgünüz ama bu özellik henüz mevcut değil"
"We are sorry but this username already exists.";"Üzgünüz ancak bu kullanıcı adı zaten mevcut."
"We've sent you an e-mail with your access token.";"Erişim belirteci ile bir e-posta gönderdik."
"Web folder Owner";"Web klasörü Sahibi"
"Web space";"Web alanı"
"Webhook";"Webhook"
"Weblink";"Weblink"
"Website";"Website"
"When selecting \'Enable test API\' in a payment method, be sure to create test credentials, check the documentation of your payment method.";"Bir ödeme yönteminde \'Test API'sını Etkinleştir \' seçerken, test kimlik bilgileri oluşturduğunuzdan emin olun, ödeme yönteminizin dökümanlarını kontrol edin."
"White Label Editor";"White Label Editor"
"Who is online";"Online olan "
"Winners list";"Kazananlar listesi"
"WordPress";"WordPress"
"Wordpress";"Wordpress"
"Year";"Yıl"
"Yearly";"Yıllık"
"Yes";"Evet"
"You already have this user in your contact";"Bu kullanıcı zaten listenizde"
"You are about to delete this certificate, Are you sure ?";"Bu sertifikayı silmek istediğinize emin misiniz?"
"You are gone offline";"Çevrim dışısınız"
"You are not allowed to delete a feature!";"Bir özelliği silmek için izniniz yok!"
"You are using a custom SMTP configuration, and the following white-label administrator <b>%s</b> is requesting his domain <b>%s</b> to be white-listed.<br /><br />You can add his domain in your SMTP provider panel and send him the instructions to configure it for his domain.";"Özel bir SMTP yapılandırması kullanıyorsunuz ve aşağıdaki white-label yöneticisi <b>% s </ b>, etki alanının <b>%s </ b> için whitelist istiyor. <br /><br / > Alanını SMTP sağlayıcınızın paneline ekleyebilir ve ona alan adına göre yapılandırmak için talimatları gönderebilirsiniz."
"You can add allowed extensions, please note that .php, .js & .ico are strictly forbidden and can't be added";"İzin verilen uzantıları ekleyin lütfen unutmayın .php .js ve .ıco kesinlikle yasaktır ve bunu eklenebilir"
"You can extend JAVA & GRADLE options to better fit your server hardware.";"Daha iyi sunucu donanımınız uygun JAVA & GRADLE seçenekleri genişletebilirsiniz."
"You can follow the URL below to access your data report";"Veri erişim için aşağıdaki URL izleyebilirsiniz raporu"
"You can globally disable a feature!";"Bu özelliği k"
"You can upload a pem certificate only.";"Sadece bir pem sertifikası yükleyebilirsiniz."
"You can upload a png only (.png).";"Yalnızca png yükleyebilirsiniz. (.png)"
"You can upload a zip archive only.";"Sadece zip arşiv yüklenebilir."
"You can upload an icon only (.ico and .png).";"Sadece (.ico ve .png) yükleyebilirsiniz."
"You can upload an image only (.jpg, .jpeg, .gif and .png).";"Sadece (.jpg, .jpeg, .gif ve .png) yükleyebilirsiniz."
"You can't upload more than one file at a time.";"Bir seferde birden fazla dosya yüklenemez."
"You cannot add this feature";"Bu özelliği ekleyemezsiniz."
"You current working environment is";"Mevcut çalışma ortamıdır"
"You don't have any applications yet";"Henüz hiç uygulamanız yok"
"You don't have any invoices yet";"Henüz herhangi bir fatura yok "
"You have gone offline";"Çevrimdışı oldunuz"
"You have to chose a start and an end date.";"Bir başlama ve bitirme tarihi seçmeniz gerekiyor."
"You must be logged in to like something!";"Beğenmek için giriş yapmalısınız."
"You must be logged in to post a comment";"Yorum yazmak için giriş yapmalısınız"
"You must fill ip & port.";"Ip & port doldurmanız gerekir."
"You must first complete the current category creation process";"Öncelikle mevcut kategori oluşturma işlemini tamamlamanız gerekir."
"You must give the permission to the app to add a contact to your address book";"Adres defterinize kontak eklemek için uygulamaya izin vermelisiniz"
"You must share your location to access this page.";"Bu sayfaya ulaşmak için yerinizi paylaşmalısınız."
"You will lose all unsaved changes, continue?";"Kaydedilmemiş tüm değişiklikleri kaybedeceksiniz, devam edilsin mi?"
"Your PHP version is too old, please upgrade to PHP 5.4+.";"PHP sürümünüz çok eski, lütfen PHP 5.4+ sürümüne geçin."
"Your access token is";"Erişim belirteci olduğunu"
"Your analytics will be computed and available soon";"Analizleriniz yakında hesaplanacak ve kullanıma sunulacak"
"Your are not allowed to assign this role.";"Bu rol atamak için izin verilmez."
"Your browser is too old to view the content of our website.<br />";"Tarayıcınız sitemizin içeriğini görüntülemek için çok eski. <br />"
"Your build should be ready";"Yapı hazır olmalıdır "
"Your comment";"Yorumunuz"
"Your email address";"Email adresiniz"
"Your email address does not exist";"Email adresiniz mevcut değil"
"Your invoice has been edited successfully.";"Faturanız başarıyla düzenlenmiştir."
"Your name";"Adınız"
"Your new password has been sent to the entered email address";"Yeni şifreniz girilen e-posta adresine gönderildi"
"Your password does not match the entered password.";"Şifreler eşleşmiyor."
"Your request has been successfully sent, please wait for your administrator to answer.";"Talebiniz başarıyla gönderildi. Lütfen yöneticinizin yanıt vermesini bekleyin."
"Your subscription has been deleted successfully.";"Aboneliğiniz başarıyla silindi."
"Your subscription status has been changed successfully.";"Abonelik durumunuz başarıyla değiştirildi."
"Youtube";"Youtube"
"Zip code";"Posta kodu"
"average";"ortalama"
"be careful or set it back to";"dikkatli olun ya da ayarlamak için "
"close";"Kapat"
"confirm action, deletion, etc ...";"Silmeyi, eylemi vb onaylayın..."
"contextual, depends on module/layout";"Bğlamsal, modül/layout'a bağlı"
"day";"gün"
"days";"gün "
"disabled";"devre dışı"
"en";"tr"
"enabled";"etkin"
"form submit, search, validation, confirmation";"Forrm gönderme, arama, doğrulama, onaylama"
"hh:mm a";"ss:dd"
"high";"yüksek"
"hour";"saat"
"hours";"saat"
"iOS & Android";"iOS & Android"
"iOS Source";"iOS Kaynağı"
"iOS Spinner";"iOS Spinner"
"iOS base Bundle ID  must contain only letters, dots & minus with at least two dots.<br />Example: com.mydomain.admin";"iOS base Bundle kimliği, en az iki punto ile sadece harf, nokta ve eksi içermelidir. <br /> Örnek: com.mydomain.admin"
"iOS base Bundle ID  must contain only letters, dots & minus.";"iOS taban paketi kimliği yalnızca harfler, nokta ve eksi içermelidir."
"iOS base Bundle ID can't be empty.";"iOS base Bundle kimliği boş bırakılamaz."
"iOS only";"Yalnızca iOS"
"iPhone";"iPhone"
"iTunes";"iTunes"
"iTunes Connect providers";"iTunes sağlayıcıları Bağlayın "
"idle";"boşta"
"informative, modal";"Bilgilendirici, kipsel"
"is updated once a day";"bir kez bir gün güncellenir "
"loading";"yüklüyor"
"low";"düşük"
"maintenance";"bakım"
"minute";"dakika"
"minutes";"dakika"
"nd";"nd"
"never";"asla"
"online";"çevrimiçi"
"phone, locate, facebook, email, etc..";"Telefon, lokasyon, facebook, e-posta, vb"
"picture";"resim"
"posts";"mesaj"
"remaining characters";"kalan karakterler"
"second";"saniye"
"seconds";"saniye"
"this feature is globally disabled!";"Bu özellik global olarak devre dışı bırakıldı!"
"title";"başlık"
"titles";"başlıklar"
"to add a folder.";"başka bir klasöre eklemek için."
"to add a subfolder.";"Bir alt klasör eklemek için."
"twitter";"heyecan"
"unreachable";"ulaşılamaz"
